Time	Temp	Setpoint	Output	State
0	22.44	20	255	0
1	22.6	20	255	0
2	22.74	20	255	0
3	22.59	20	255	0
4	22.34	20	255	0
5	22.35	20	255	0
6	22.34	20	255	0
7	22.29	20	255	0
8	22.44	20	255	0
9	22.15	20	255	0
10	22.4	20	255	0
11	22.26	20	255	0
12	22.48	20	255	0
13	22.34	20	255	0
14	22.43	20	255	0
15	22.17	20	255	0
16	22.12	20	255	0
17	22.26	20	255	0
18	22	20	255	0
19	22.2	20	255	0
20	22.22	20	255	0
21	22.14	20	255	0
22	22.19	20	255	0
23	21.9	20	255	0
24	22.24	20	255	0
25	22.05	20	255	0
26	22.04	20	255	0
27	22.02	20	255	0
28	22.01	20	255	0
29	21.82	20	255	0
30	21.98	20	255	0
31	21.98	20	255	0
32	22	20	255	0
33	22.12	20	255	0
34	21.85	20	255	0
35	22	20	255	0
36	21.97	20	255	0
37	22.11	20	255	0
38	21.65	20	255	0
39	21.68	20	255	0
40	21.74	20	255	0
41	21.9	20	255	0
42	21.84	20	255	0
43	21.94	20	255	0
44	22.01	20	255	0
45	21.83	20	255	0
46	21.61	20	255	0
47	21.52	20	255	0
48	21.57	20	255	0
49	21.52	20	255	0
50	21.4	20	255	0
51	21.57	20	255	0
52	21.44	20	255	0
53	21.71	20	255	0
54	21.54	20	255	0
55	21.54	20	255	0
56	21.57	20	255	0
57	21.54	20	255	0
58	21.64	20	255	0
59	21.39	20	255	0
60	21.35	20	255	0
61	21.57	20	255	0
62	21.43	20	255	0
63	21.46	20	255	0
64	21.23	20	255	0
65	21.65	20	255	0
66	21.29	20	255	0
67	21.34	20	255	0
68	21.5	20	255	0
69	21.24	20	255	0
70	21.24	20	255	0
71	21.43	20	255	0
72	21.28	20	255	0
73	21.6	20	255	0
74	21.25	20	255	0
75	21.19	20	255	0
76	21.48	20	255	0
77	21.18	20	255	0
78	21.4	20	255	0
79	20.95	20	255	0
80	21.01	20	255	0
81	21.27	20	255	0
82	21.37	20	255	0
83	21.3	20	255	0
84	21.13	20	255	0
85	21.37	20	255	0
86	21.31	20	255	0
87	21.09	20	255	0
88	21.07	20	255	0
89	21.04	20	255	0
90	21.15	20	255	0
91	21.29	20	255	0
92	21.1	20	255	0
93	21.14	20	255	0
94	21.34	20	255	0
95	20.96	20	255	0
96	21.29	20	255	0
97	21	20	255	0
98	21.25	20	255	0
99	21.24	20	255	0
100	21.25	20	255	0
101	21.39	20	255	0
102	20.98	20	255	0
103	21.15	20	255	0
104	21.32	20	255	0
105	21.29	20	255	0
106	20.87	20	255	0
107	20.97	20	255	0
108	21.05	20	255	0
109	20.93	20	255	0
110	20.79	20	255	0
111	20.89	20	255	0
112	21.1	20	255	0
113	20.95	20	255	0
114	21.03	20	255	0
115	21.11	20	255	0
116	20.7	20	255	0
117	21.05	20	255	0
118	20.63	20	255	0
119	20.86	20	255	0
120	20.92	20	255	0
121	21.2	20	255	0
122	20.75	20	255	0
123	20.83	20	255	0
124	20.85	20	255	0
125	20.8	20	255	0
126	20.99	20	255	0
127	20.78	20	255	0
128	20.72	20	255	0
129	20.76	20	255	0
130	20.94	20	255	0
131	20.94	20	255	0
132	20.92	20	255	0
133	20.6	20	255	0
134	20.93	20	255	0
135	20.95	20	255	0
136	20.88	20	255	0
137	20.29	20	255	0
138	20.53	20	255	0
139	21.15	20	255	0
140	21	20	255	0
141	20.53	20	255	0
142	20.96	20	255	0
143	20.67	20	255	0
144	20.7	20	255	0
145	20.51	20	255	0
146	20.74	20	255	0
147	20.89	20	255	0
148	20.54	20	255	0
149	20.76	20	255	0
150	20.56	20	255	0
151	20.52	20	255	0
152	20.6	20	255	0
153	20.41	20	255	0
154	20.61	20	255	0
155	21.01	20	255	0
156	20.7	20	255	0
157	20.74	20	255	0
158	20.72	20	255	0
159	20.45	20	255	0
160	20.38	20	255	0
161	20.77	20	255	0
162	20.47	20	255	0
163	20.77	20	255	0
164	20.68	20	255	0
165	20.63	20	255	0
166	20.81	20	255	0
167	20.69	20	255	0
168	20.64	20	255	0
169	20.54	20	255	0
170	20.47	20	255	0
171	20.48	20	255	0
172	20.42	20	255	0
173	20.52	20	255	0
174	20.78	20	255	0
175	20.53	20	255	0
176	20.63	20	255	0
177	20.49	20	255	0
178	20.6	20	255	0
179	20.5	20	255	0
180	20.49	20	255	0
181	20.35	20	255	0
182	20.56	20	255	0
183	20.65	20	255	0
184	20.58	20	255	0
185	20.8	20	255	0
186	20.88	20	255	0
187	20.32	20	255	0
188	20.31	20	255	0
189	20.62	20	255	0
190	20.73	20	255	0
191	20.28	20	255	0
192	20.42	20	255	0
193	20.59	20	255	0
194	20.57	20	255	0
195	20.45	20	255	0
196	20.74	20	255	0
197	20.32	20	255	0
198	20.58	20	255	0
199	20.18	20	255	0
200	20.34	20	255	0
201	20.47	20	255	0
202	20.44	20	255	0
203	20.62	20	255	0
204	20.38	20	255	0
205	20.52	20	255	0
206	20.42	20	255	0
207	20.42	20	255	0
208	20.29	20	255	0
209	20.17	20	255	0
210	20.32	20	255	0
211	20.52	20	255	0
212	20.48	20	255	0
213	20.3	20	255	0
214	20.45	20	255	0
215	20.47	20	255	0
216	20.65	20	255	0
217	20.48	20	255	0
218	20.44	20	255	0
219	20.3	20	255	0
220	20.51	20	255	0
221	20.36	20	255	0
222	20.16	20	255	0
223	20.14	20	255	0
224	20.65	20	255	0
225	20.45	20	255	0
226	20.49	20	255	0
227	20.34	20	255	0
228	20.19	20	255	0
229	20.5	20	255	0
230	20.43	20	255	0
231	20.31	20	255	0
232	20.43	20	255	0
233	20.18	20	255	0
234	20.32	20	255	0
235	20.25	20	255	0
236	20.34	20	255	0
237	20.4	20	255	0
238	20.53	20	255	0
239	20.65	20	255	0
240	20.45	20	255	0
241	20.21	20	255	0
242	20.2	20	255	0
243	20.23	20	255	0
244	20.46	20	255	0
245	20.24	20	255	0
246	20.24	20	255	0
247	20.51	20	255	0
248	20.51	20	255	0
249	20.13	20	255	0
250	20.07	20	0	0
251	20.48	20	255	0
252	20.45	20	255	0
253	20.46	20	255	0
254	20.1	20	0	0
255	20.45	20	255	0
256	20.43	20	255	0
257	20.21	20	255	0
258	20.45	20	255	0
259	20.35	20	255	0
260	20.2	20	255	0
261	20.14	20	255	0
262	20.17	20	255	0
263	20.12	20	255	0
264	20.07	20	0	0
265	20.22	20	255	0
266	20.43	20	255	0
267	20.2	20	255	0
268	19.99	20	0	0
269	20.34	20	255	0
270	20.3	20	255	0
271	20.19	20	255	0
272	20.23	20	255	0
273	20.24	20	255	0
274	20.21	20	255	0
275	20.31	20	255	0
276	20.19	20	255	0
277	20.37	20	255	0
278	20.03	20	0	0
279	20.37	20	255	0
280	20.11	20	255	0
281	20.41	20	255	0
282	20.38	20	255	0
283	20.16	20	255	0
284	20.13	20	255	0
285	20.27	20	255	0
286	20.18	20	255	0
287	20.23	20	255	0
288	20.03	20	0	0
289	20.4	20	255	0
290	20.05	20	0	0
291	20.09	20	0	0
292	20.27	20	255	0
293	20.25	20	255	0
294	20.2	20	255	0
295	20.09	20	0	0
296	20.08	20	0	0
297	20.32	20	255	0
298	19.93	20	0	0
299	20.54	20	255	0
300	20.38	20	255	0
301	20.38	20	255	0
302	20.26	20	255	0
303	20.11	20	255	0
304	20.18	20	255	0
305	20.19	20	255	0
306	20.38	20	255	0
307	20.19	20	255	0
308	19.92	20	0	0
309	19.97	20	0	0
310	20.15	20	255	0
311	20.06	20	0	0
312	20.21	20	255	0
313	20.02	20	0	0
314	19.95	20	0	0
315	20.34	20	255	0
316	20.02	20	0	0
317	19.96	20	0	0
318	20.15	20	255	0
319	20.4	20	255	0
320	20.5	20	255	0
321	19.97	20	0	0
322	20.03	20	0	0
323	20.27	20	255	0
324	20.05	20	0	0
325	20.32	20	255	0
326	20.22	20	255	0
327	20.26	20	255	0
328	20.2	20	255	0
329	20.21	20	255	0
330	20.17	20	255	0
331	20.15	20	255	0
332	20.12	20	255	0
333	20.19	20	255	0
334	20.25	20	255	0
335	20.23	20	255	0
336	20.26	20	255	0
337	20.31	20	255	0
338	20.2	20	255	0
339	20.13	20	255	0
340	19.92	20	0	0
341	20.08	20	0	0
342	20.04	20	0	0
343	20.12	20	255	0
344	20.23	20	255	0
345	20.12	20	255	0
346	20.23	20	255	0
347	20.4	20	255	0
348	19.92	20	0	0
349	19.84	20	0	0
350	20.36	20	255	0
351	20.25	20	255	0
352	20.05	20	0	0
353	20.25	20	255	0
354	20.27	20	255	0
355	20.06	20	0	0
356	20.47	20	255	0
357	20.11	20	255	0
358	20.08	20	0	0
359	20.13	20	255	0
360	20.08	20	0	0
