Time,Temp
1,17.10
2,17.05
3,16.94
4,16.92
5,16.76
6,16.62
7,16.55
8,16.44
9,16.36
10,16.31
11,16.39
12,16.42
13,16.50
14,16.47
15,16.49
16,16.52
17,16.36
18,16.34
19,16.38
20,16.17
21,16.18
22,16.36
23,16.36
24,16.34
25,16.62
26,16.62
27,16.58
28,16.60
29,16.39
30,16.36
31,16.15
32,16.00
33,16.00
34,16.08
35,16.05
36,16.20
37,16.21
38,16.26
39,16.18
40,16.12
41,16.18
42,16.31
43,16.26
44,16.47
45,16.52
46,16.36
47,16.36
48,15.84
49,15.52
50,15.07
51,15.13
52,15.28
53,15.28
54,15.44
55,15.47
56,15.83
57,15.47
58,15.57
59,14.75
60,15.12
61,14.57
62,14.44
63,14.55
64,15.21
65,14.96
66,14.73
67,14.81
68,14.89
69,14.86
70,15.04
71,15.21
72,15.18
73,15.20
74,15.07
75,14.68
76,14.63
77,14.25
78,2.34
79,1.03
80,-10.52
81,-22.24
82,-33.68
83,-26.72
84,-25.38
85,-16.75
86,-13.22
87,-1.61
88,-1.69
89,-1.37
90,1.97
91,10.27
92,10.51
93,15.46
94,3.48
95,-8.49
96,-20.32
97,-32.11
98,-43.94
99,-43.94
100,-43.94
101,-43.94
102,-44.00
103,-43.85
104,-43.85
105,-42.94
106,-42.94
107,-42.94
108,-41.81
109,-40.73
110,-41.41
111,-41.41
112,-39.13
113,-37.99
114,-36.13
115,-33.94
116,-28.87
117,-26.75
118,-17.05
119,-7.82
120,1.39
121,8.33
122,15.57
123,14.65
124,13.93
125,14.34
126,14.17
127,14.15
128,14.80
129,15.30
130,15.07
131,15.05
132,15.54
133,15.49
134,15.44
135,15.31
136,15.41
137,15.47
138,15.79
139,15.78
140,15.70
141,15.71
142,15.50
143,15.21
144,14.68
145,15.26
146,15.44
147,15.21
148,15.38
149,16.15
150,16.08
151,15.97
152,16.21
153,15.94
154,15.63
155,15.25
353,28.01
354,27.64
355,27.71
356,27.96
357,27.77
358,27.51
359,27.42
360,27.54
361,27.54
362,27.59
363,27.61
364,27.75
365,27.77
366,27.82
367,27.98
368,27.92
369,28.12
370,27.96
371,27.77
372,27.72
373,27.88
374,27.85
375,28.11
376,28.62
377,28.93
378,29.06
379,29.17
380,29.24
381,29.08
382,29.17
383,29.37
384,29.32
385,29.20
386,29.54
387,29.30
388,29.45
389,29.51
390,30.03
391,30.09
392,30.40
393,30.64
394,30.85
395,30.61
396,30.27
397,30.16
398,29.67
399,29.40
400,29.08
401,29.12
402,29.08
403,28.93
404,28.98
405,29.11
406,29.14
407,29.14
408,29.28
409,29.19
410,29.46
411,29.48
412,29.56
413,29.66
414,29.49
